,secID,ticker,tradeDate,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB,PCF,PE,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20
0,688981.XSHG,688981,2020-08-20,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,-0.0584,-0.0341,-0.067,,,,1.1962,0.4239,0.0494,0.08,,0.0427,0.2169,75.1713,80.926,76.811,73.6149,79.5394,0.227,1.2461,0.5761,0.3827,0.0024,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0416,25.0408,0.1026,0.9592,0.2177,75.496,77.3958,76.808,73.958,77.3958,,35.8948,1.0553,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,13.4545,61.1924,275.4356,23.3089,0.4167,1.933,0.85,0.9152,0.959,0.0207,,0.0508,,25.9378,-0.1398,-0.1398,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.0553,0.1137,0.0796,0.1137,0.0467,0.1137,,1.8763,,,0.0035,,0,0.0467,,,0.0773,0.1766,0.226,0.0163,0.0616,-0.0069,-398.7941,1,0.0914,0.4345,0.5296,0.0042,1,-1.2374,-0.2634,4.1218,2.8366,-4.4983,-6.1296,-2.5122,-6.8425,68.1169,85.4991,-136.7269,-93.646,-95.6907,-108.9097,11.3532,16.8069,0.4458,-4.1606,-8.4793,37.59,27.69,1.8468,1.8648,49.7575,-0.15,24.7,18.02,-15.6367,0.1938,,569984156,588267649.5,584520707.4,6459.5627,3473.069,3033.7507,1048.2329,-89016145.9551,-77645508.9892,63064982.2479,71102659.4694,148748168.459,49757038.7201,22741273.9318,-78.9021,1.2298,-59.8733,-38.0795,23299078.7738,35973158.3156,-2.4781,1.29302490976e+11,-784.6495,-596.1225,-740.684,-7.8914,-99.1318,-69.7366,-50.1296,-3.4477,-2.479,8.6135,26.8152,30.1675,22.407,32,28,60,-1.237,-1.8557,-0.634,0.183,0.817,-12.72,-2.624,-10.7254,-8.944,-6.3901,-0.0087,-0.0033,42.1401,-0.1739,-0.8892,-0.8077,-1.021,-15.5914,10.828,3.7772,,-1.46,-3.19,75.6014,77.4571,1.2816,75.2449,1.0436,72.0703,71.8137,1.0471,75.7061,194.2612,-118.5551,82.1426,18.9596,-4.9296,-2.6996,0.0309,94.4628,99.0478,0.8892,0.9356,0.25
1,688981.XSHG,688981,2020-08-21,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,-0.0634,-0.0358,-0.0646,,,,1.1962,0.4239,0.0491,0.08,,0.0427,0.2169,74.5711,80.7763,76.3404,73.0333,79.288,0.227,1.2461,0.5761,0.3827,0.0024,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0384,25.0376,0.1026,0.9592,0.2177,74.636,77.1911,76.804,73.222,77.1911,,26.5454,1.0555,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,13.4116,60.9972,274.5569,23.2346,0.3333,1.933,0.8931,0.9989,0.9513,0.0207,,0.0508,,17.2068,-0.143,-0.143,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.047,0.1104,0.0746,0.1104,0.0458,0.1104,,1.8637,,,0.0034,,0,0.0467,,,0.0388,0.1727,0.2267,0.0164,0.0616,-0.0069,-398.7941,1,0.075,0.4685,0.5268,0.0038,1,-1.246,-0.3453,3.9295,2.6022,-3.706,-6.4241,-1.8464,-6.8934,68.1034,85.5046,-116.0947,-88.7036,-61.0965,-101.7114,11.8089,15.1409,5.1449,-4.4028,-0.1112,37.59,24.61,1.6006,1.8942,45.7995,-0.1069,18.1,18.02,-0.2215,-0.408,,544483996,584004346.167,597735886.3,6066.6635,3301.0778,3100.5732,1234.9109,-86319275.9701,-75531796.0303,56235014.5665,64086890.3203,139618686.351,41671412.4801,21574959.8796,-67.6524,0.9842,-78.2499,-32.6572,15670033.354,36331063.9586,-2.4145,1.21526426758e+11,-796.9538,-613.5748,-750.3614,-12.7111,-87.0611,-66.2869,-52.7482,-4.5652,-2.5795,7.8304,24.3771,32.9952,19.0287,32,24,56,-1.3928,-2.0158,-0.5186,0.2407,0.7593,-8.6,-4.336,-10.8067,-9.4177,-7.2728,-0.009,-0.0038,40.6158,-0.3709,-0.97,-0.9314,-0.937,1.4466,10.9813,4.2921,,-1.04,2.58,75.0274,77.0432,1.452,74.5982,1.038,71.4576,71.535,1.0385,94.875,85.5908,9.2842,97.525,18.7404,-3.7296,-2.2996,0.0199,94.1615,99.0478,0.8659,0.9078,0.2727
2,688981.XSHG,688981,2020-08-24,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,-0.0643,-0.0352,-0.066,,,,1.1962,0.4239,0.0485,0.08,,0.0427,0.2169,74.1036,80.6313,75.927,72.6888,79.049,0.227,1.2461,0.5761,0.3827,0.0024,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0403,25.0394,0.1026,0.9592,0.2177,74.047,77.0057,76.863,72.418,77.0057,,28.3143,1.0554,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,13.4375,61.1148,275.0859,23.2793,0.3333,1.933,0.9244,1.0167,0.9471,0.0207,,0.0508,,8.0497,-0.1412,-0.1412,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.0434,0.1077,0.0725,0.1077,0.0417,0.1077,,1.8637,,,0.0033,,0,0.0467,,,0.0294,0.1737,0.2263,0.0163,0.0616,-0.0069,-398.7941,1,0.0842,0.4976,0.5878,0.0038,1,-1.1444,-0.3569,3.801,2.5235,-2.7645,-6.3268,-0.5772,-6.5004,68.3187,85.4073,-94.1399,-93.7435,-62.3916,-101.1905,14.7543,15.012,14.2389,-4.6989,1.6662,38.27,24.61,1.6387,1.6416,49.9558,-0.0756,16.97,18.15,3.3599,-1.4513,,580122291,580682113.333,616688507.95,5911.2295,3351.5175,3198.1631,1188.8878,-83496671.1344,-72206251.7915,52490156.4635,59710183.3479,131916435.139,39660373.3201,22580838.6858,-71.5954,1.2016,-64.7855,18.8265,13743312.9273,37514936.2201,-2.4772,1.18426915275e+11,-789.7592,-628.3817,-762.1721,-15.4702,-95.5995,-56.5605,-49.6688,-3.5016,-2.531,7.0158,24.5772,36.0074,24.9781,32,20,52,-1.5358,-2.108,-0.743,0.1285,0.8715,-5.89,-5.632,-10.7422,-9.9053,-8.335,-0.0086,-0.0043,44.7906,-0.5431,-0.96,-0.7734,-0.6875,-8.3744,10.8273,4.5008,,-0.86,6.85,74.5616,76.6696,1.4668,74.1275,1.0295,71.1929,71.626,1.0284,90.2061,94.2,-3.9939,106.301,18.5792,-4.0482,-1.9182,0.0296,94.1615,99.227,0.8489,0.9157,0.3
3,688981.XSHG,688981,2020-08-25,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,-0.0635,-0.0348,-0.0683,,,,1.1962,0.4239,0.0479,0.08,,0.0427,0.2169,73.5066,80.4691,75.4406,72.0659,78.7792,0.227,1.2461,0.5761,0.3827,0.0024,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,27.0238,25.0229,0.1026,0.9592,0.2177,73.489,76.7924,76.776,71.726,76.7924,-321.3474,15.19,1.0563,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,13.2172,60.1132,270.5776,22.8978,0.3333,1.933,0.927,0.976,0.9534,0.0207,,0.0508,,10.1569,-0.1577,-0.1577,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.0416,0.1051,0.0703,0.1051,0.0368,0.1051,-338.8156,1.8637,,,0.0034,,0,0.0474,,,0.0294,0.1737,0.23,0.0166,0.0616,-0.0069,-398.7941,1,0.0,0.5273,0.5133,0.0038,1,-1.1432,-0.3883,3.6724,2.4363,-3.6318,-7.7576,-1.2631,-7.7773,68.0145,85.5375,-87.8243,-97.2412,-131.4908,-103.1847,10.3974,13.4738,4.2446,-6.8403,-2.398,38.27,23.41,1.4202,1.681,45.7952,-0.073,18.15,16.41,-5.0347,-2.2995,,544974161,561979426.0,629831693.4,5739.2221,3054.3557,3287.0481,1126.7157,-80560738.2329,-68817006.6267,49337060.7429,55931405.9098,124748412.537,38156292.2134,23487463.2124,-79.1586,1.0125,-68.5693,-38.4819,13651048.3169,38540775.5405,-2.6159,1.15002845776e+11,-824.2044,-642.231,-785.9035,-18.0699,-131.028,-58.3994,-46.5202,-4.1539,-2.599,6.2933,22.0461,38.6179,19.6565,-52,100,48,-1.6787,-2.2503,-0.713,0.1435,0.8565,-5.58,-6.574,-11.3182,-10.5482,-8.9674,-0.0085,-0.0047,37.1421,-0.6694,-0.8857,-0.4871,-0.5915,-17.6769,10.5857,4.4542,,-4.86,3.13,73.986,76.2363,1.4536,73.512,1.038,70.5656,70.9287,1.0377,95.107,99.9198,-4.8128,96.0516,18.5184,-3.4042,-1.4042,0.0282,92.6183,99.227,0.8801,0.89,0.2727
4,688981.XSHG,688981,2020-08-26,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,-0.06,-0.0342,-0.0631,,,,1.1962,0.4239,0.0485,0.08,,0.0427,0.2169,72.189,80.2342,74.5663,70.1306,78.3687,0.227,1.2461,0.5761,0.3827,0.0026,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,26.9572,24.9563,0.1026,0.9592,0.2177,72.592,76.4413,76.3355,70.61,76.4413,-286.4491,15.9492,1.0602,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,12.3662,56.2426,253.1554,21.4235,0.3333,1.933,0.8808,0.8826,0.9223,0.0207,,0.0508,,8.7296,-0.2243,-0.2243,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.0443,0.1043,0.0701,0.1043,0.0412,0.1043,-425.7013,1.8637,,,0.0036,,0,0.0507,,,0.0294,0.1737,0.2458,0.0177,0.0616,-0.0069,-398.7941,1,0.0,0.5277,0.0959,0.0041,1,-1.634,-0.3752,3.8344,3.0202,-8.7227,-13.199,-6.1606,-13.3191,66.405,86.266,-178.6119,-148.7893,-166.6667,-159.6241,9.2168,12.0548,3.5408,-10.797,-11.7357,37.47,23.41,1.2308,1.8417,40.0586,-0.1192,22.71,13.9,-24.0645,-2.9337,,461270556,539418081.833,634445410.15,5702.7882,3252.3894,3282.981,1483.1991,-76749391.4861,-61504004.499,55585523.3351,60204051.9237,121708056.423,53338729.8089,30490773.9742,-69.2584,1.0571,15.764,38.235,18516100.3135,38487390.3335,-3.0958,1.14247146122e+11,-886.7707,-663.2393,-811.8056,-22.2401,-226.7449,-73.7501,-27.8377,-5.4008,-6.4739,5.2238,36.6943,43.479,22.5695,-56,100,44,-1.883,-2.7,-0.7518,0.1241,0.8759,-8.97,-7.487,-16.7078,-11.8583,-9.8556,-0.0104,-0.0054,26.9368,-0.7598,-0.7854,-0.9031,-0.7206,-116.8953,10.759,5.1879,,-8.15,-5.53,72.7974,75.4974,1.7768,72.3376,1.0917,68.1643,67.4901,1.0956,79.194,86.9048,-7.7108,81.2949,18.7662,-7.5593,-1.6193,0.0896,92.6183,92.8379,0.8507,0.8411,0.25
5,688981.XSHG,688981,2020-08-27,37.9979,9.4742,0.2772,47.5467,7.5715,25.5568,1.744,0.0453,0.3809,0.6941,,0,,0.4332,0.557,2.1006,-0.0562,-0.0345,-0.0562,,,,1.1962,0.4239,0.0491,0.08,,0.0427,0.2169,71.2874,80.0193,73.8676,69.1637,78.0035,0.227,1.2461,0.5761,0.3827,0.0025,,-0.0214,0.039,0.4623,0.4719,0.2143,,,0.0147,83.0316,4.3357,-0.0153,26.9717,24.9708,0.1026,0.9592,0.2177,71.797,76.1442,75.9125,69.636,76.1442,-294.5858,17.4487,1.0593,0.1846,1.3175,0.0554,-6.8167,0.5668,1.5908,0.0554,0.0075,1.2954,0.0651,0.0651,0.0871,1.0071,0.3498,12.5472,57.0659,256.8615,21.7371,0.4167,1.933,0.8943,0.8882,0.9325,0.0207,,0.0508,,16.2122,-0.2098,-0.2098,0.7857,1.1126,1.6615,0.0069,,0.2712,0.2281,0.0618,1.2806,0.0467,0.1029,0.0684,0.1029,0.0467,0.1029,-298.3353,1.8637,,,0.0036,,0,0.05,,,0.0294,0.1737,0.2423,0.0175,0.0616,-0.0069,-398.7941,1,0.0523,0.5348,0.0537,0.0043,1,-1.698,-0.3747,3.8969,3.3018,-6.361,-11.4375,-3.4551,-11.707,65.1781,86.6469,-175.0372,-148.4799,-100.7442,-167.2323,15.0087,13.0394,18.9473,-6.417,-11.1772,37.44,23.41,1.49,1.5961,48.281,-0.1057,22.71,14.25,-22.8896,-3.2385,,524211656,537507802.667,637234852.8,5539.099,3209.972,3273.4971,1446.3445,-72745475.6482,-56729812.2964,56922900.9105,60625136.2431,117354948.539,56539519.8726,32031326.7036,-61.1231,1.3201,15.563,3.2409,18972246.1009,38027753.7381,-3.6552,1.10971071489e+11,-860.445,-685.7208,-823.7971,-24.3195,-182.2961,-64.9491,-11.1653,-5.9282,-7.8897,4.4547,36.8345,48.1381,26.0005,-56,96,40,-2.0952,-2.9442,-0.7416,0.1292,0.8708,-7.95,-8.231,-15.7864,-12.6811,-10.5803,-0.0116,-0.0061,35.1953,-0.8138,-0.7196,-1.2103,-0.7988,-25.2047,10.78,5.5113,,-2.37,-4.68,71.9408,74.885,1.8864,71.5078,1.0636,67.093,66.7944,1.0679,74.7278,83.9305,-9.2027,72.0841,19.1505,-8.3451,-3.6351,0.0701,93.9742,92.8379,0.88,0.9344,0.1818
6,688981.XSHG,688981,2020-08-28,38.4986,9.351,0.2585,51.6484,6.9702,25.6956,1.5984,0.0396,0.3584,1.0908,,0,,0.4504,0.4793,2.606,-0.0531,-0.0381,-0.0511,,,,1.0286,0.3537,0.0485,0.25,,0.0656,0.2169,70.4679,79.8005,73.1926,68.3692,77.6356,0.3604,1.4159,0.6463,0.3356,0.0046,,-0.0235,0.1547,0.4565,0.4444,0.2217,,,0.013,82.8519,4.3451,0.2633,26.965,24.9641,0.0829,0.6514,0.1808,70.92,75.8516,75.141,68.618,75.8516,-309.3118,24.1615,1.0552,0.5271,7.4264,0.095,-13.8055,0.5496,3.1047,0.095,0.0061,6.2456,0.1085,0.1085,0.1534,0.8383,0.3592,10.8421,57.3206,179.7859,20.5447,0.4167,2.4161,0.8839,0.8123,0.9292,0.0274,,0.0699,,17.1206,-0.2165,-0.2165,0.7783,1.0973,1.6615,0.0066,,0.4605,0.2068,0.1061,6.1776,0.0478,0.1009,0.0628,0.1009,0.0498,0.1009,-281.0165,1.8637,,,0.0036,,0,0.0502,,,0.0315,0.1705,0.2865,0.0178,0.0456,0.001,-398.7941,2,0.028,0.5001,0.1669,0.0039,1,-1.668,-0.3862,3.76,3.0815,-5.8376,-11.1271,-2.6786,-11.9597,64.0987,86.1833,-112.8812,-129.277,-57.5268,-148.9551,17.8442,14.641,24.2506,-7.3786,-18.769,37.44,22.98,1.2913,1.8144,41.5784,-0.1161,23.16,7.73,-49.9514,-3.4169,,482869982,522988773.667,630094673.1,5055.772,3257.3033,2893.6646,1422.2148,-69009557.6918,-54065885.8664,54089950.5631,57658449.7442,111724335.611,51473571.2484,29887343.6508,-58.4703,1.3889,-25.3909,20.4916,18053359.156,32663593.0105,-3.6104,1.01058024289e+11,-877.9839,-712.6475,-839.3528,-25.5221,-165.3667,-61.0247,-6.6946,-4.8146,-6.1417,4.0013,33.0855,52.1759,29.5619,-56,92,36,-2.3037,-3.1377,-0.5354,0.2323,0.7677,-8.77,-8.442,-16.0631,-13.5707,-11.2573,-0.0121,-0.0067,37.3169,-0.8429,-0.7493,-1.2663,-0.8834,1.338,10.9105,5.9099,,-5.02,-13.49,71.1469,74.2846,1.9836,70.7314,1.0592,66.2865,66.3602,1.062,73.0309,89.8462,-16.8153,53.3323,19.433,-5.2458,-3.2658,0.0296,93.3452,92.8379,0.8877,0.943,0.1818
7,688981.XSHG,688981,2020-08-31,38.4986,9.351,0.2585,51.6484,6.9702,25.6956,1.5984,0.0396,0.3584,1.0908,,0,,0.4504,0.4793,2.606,-0.0534,-0.0413,-0.0496,,,,1.0286,0.3537,0.0479,0.25,,0.0656,0.2169,69.7792,79.5836,72.5723,67.8061,77.2764,0.3603,1.4159,0.6463,0.3356,0.0046,,-0.0235,0.1547,0.4565,0.4444,0.2217,,,0.013,82.8519,4.3451,0.2633,26.9638,24.9626,0.0829,0.6514,0.1808,69.986,75.5736,74.275,67.554,75.5736,-314.2851,25.2054,1.0553,0.5271,7.4264,0.095,-13.8055,0.5496,3.1047,0.095,0.0061,6.2456,0.1085,0.1085,0.1534,0.8383,0.3592,10.8285,57.2486,179.5602,20.5189,0.4167,2.4161,0.8771,0.7938,0.9261,0.0274,,0.0699,,17.0543,-0.218,-0.218,0.7783,1.0973,1.6615,0.0066,,0.4605,0.2068,0.1061,6.1776,0.0454,0.0988,0.0575,0.0988,0.0492,0.0988,-280.6244,1.8492,,,0.0036,,0,0.0497,,,0.0317,0.1591,0.2869,0.0178,0.0456,0.001,-398.7941,2,0.0226,0.4644,0.2357,0.0042,1,-1.5326,-0.3859,3.5721,2.7562,-4.7238,-10.2255,-1.2938,-11.7681,63.4434,85.1066,-84.7784,-117.463,-44.33,-140.7702,21.0949,16.7923,29.7001,-7.2214,-20.619,37.42,22.98,1.1191,1.9633,36.3061,-0.1229,23.26,5.94,-59.3151,-2.8848,,450307024,507292611.667,614160042.5,4551.4173,3314.84,2408.2736,1358.9134,-65620231.1537,-52062925.0012,50175951.9153,53797604.8605,105860529.862,45170033.4989,27114612.305,-51.9243,1.2221,-14.0052,27.6971,18596591.5661,27763784.8117,-3.6248,91027601543.6,-909.9705,-734.8093,-858.189,-25.967,-177.6933,-64.0492,-13.4053,-4.5825,-6.3458,3.6502,30.1824,55.6754,32.7994,-56,88,32,-2.4953,-3.2616,-0.4334,0.2833,0.7167,-9.34,-8.578,-16.1119,-14.4549,-11.9363,-0.012,-0.0073,35.0997,-0.8463,-0.8231,-1.0786,-0.915,-10.88,10.8969,6.3148,,-5.08,-16.4,70.4597,73.7213,2.0748,70.3118,1.0545,65.8175,66.2612,1.0496,82.5735,106.4437,-23.8702,38.4438,19.6401,-4.1036,-2.9736,0.0169,93.2054,92.8379,0.8869,0.919,0.1667
8,688981.XSHG,688981,2020-09-01,38.4986,9.351,0.2585,51.6484,6.9702,25.6956,1.5984,0.0396,0.3584,1.0908,,0,,0.4504,0.4793,2.606,-0.0541,-0.0419,-0.0482,,,,1.0286,0.3537,0.0453,0.25,,0.0656,0.2169,68.9739,79.3483,71.8845,66.9874,76.8853,0.3603,1.4159,0.6463,0.3356,0.0047,,-0.0235,0.1547,0.4565,0.4444,0.2217,,,0.013,82.8519,4.3451,0.2633,26.9436,24.9425,0.0829,0.6514,0.1808,69.093,75.2729,73.4885,66.46,75.2729,-333.7856,26.3592,1.0564,0.5271,7.4264,0.095,-13.8055,0.5496,3.1047,0.095,0.0061,6.2456,0.1085,0.1085,0.1534,0.8383,0.3592,10.6125,56.1067,175.9787,20.1096,0.3333,2.4161,0.8798,0.806,0.9228,0.0274,,0.0699,,13.2035,-0.2381,-0.2381,0.7783,1.0973,1.6615,0.0066,,0.4605,0.2068,0.1061,6.1776,0.0427,0.0968,0.0549,0.0968,0.0486,0.0968,-378.2205,1.8492,,,0.0037,,0,0.0508,,,0.0317,0.1591,0.2928,0.0182,0.0456,0.001,-398.7941,2,0.0,0.4851,0.3442,0.0042,1,-1.4916,-0.4934,3.4362,2.5752,-5.4173,-11.0745,-1.6702,-13.1826,62.455,84.522,-97.4095,-124.9149,-139.4716,-154.2984,19.3531,17.6459,22.7675,-9.2361,-19.4006,38.71,19.61,0.9699,2.0797,31.8042,-0.1202,21.67,5.94,-56.9721,-2.2639,,417897609,480255164.667,600880255.0,4307.6728,3242.7857,2394.201,1417.3921,-62478703.4081,-49912592.4259,46945672.4762,50507114.1127,100419706.539,40916493.9993,25132221.9644,-47.4371,1.0619,8.0607,-9.0601,18491831.3012,27712964.4469,-3.6741,86149024029.0,-927.2851,-755.3155,-881.1099,-26.5093,-198.8862,-64.973,-15.5669,-4.167,-7.0399,3.2886,33.6338,59.2102,36.5487,-72,100,28,-2.6818,-3.4276,-0.5634,0.2183,0.7817,-8.93,-8.791,-16.7583,-15.4576,-12.6815,-0.0119,-0.0078,34.0552,-0.844,-0.8764,-0.7583,-0.9215,-29.5672,10.5861,6.3883,,-7.69,-14.32,69.6736,73.1012,2.1156,69.5643,1.0645,65.0143,65.4113,1.0573,82.9092,102.893,-19.9838,41.1765,19.8255,-4.9888,-3.5288,0.0223,91.3463,92.8379,0.865,0.8705,0.1818
9,688981.XSHG,688981,2020-09-02,36.7235,9.803,0.2585,51.6484,6.9702,25.5568,1.744,0.0453,0.3584,1.0503,,0,,0.4332,0.6104,2.1006,-0.0547,-0.044,-0.0555,,,,1.1962,0.4239,0.0427,0.25,,0.0656,0.2169,68.1004,79.0975,71.1498,66.0483,76.4684,0.3603,1.4159,0.7426,0.3356,0.0048,,-0.0235,0.1547,0.5245,0.4444,0.2217,,,0.0149,82.8519,4.3451,0.2633,26.9254,24.9242,0.0953,0.9592,0.2177,68.326,74.9557,72.547,66.042,74.9557,-347.9218,20.1741,1.0621,0.5271,7.4264,0.095,-13.8055,0.6314,3.1047,0.095,0.0061,6.2456,0.1085,0.1085,0.1534,0.8383,0.3459,11.9791,55.0941,172.8026,19.7467,0.25,1.933,0.8932,0.7731,0.9685,0.0323,,0.0758,,9.3342,-0.2564,-0.2564,0.7783,1.0973,1.6615,0.0066,,0.2712,0.2481,0.1061,6.1776,0.0404,0.0951,0.0511,0.0951,0.0396,0.0951,-423.633,1.8475,,,0.004,,0,0.0519,,,0.1136,0.1637,0.2597,0.0185,0.0524,0.001,-398.7941,2,0.0,0.4543,0.3347,0.0045,1,-1.4896,-0.5075,3.2993,2.3993,-6.0826,-11.547,-2.8346,-14.3894,61.7192,83.3748,-103.1173,-130.6106,-123.175,-159.3966,13.9345,16.4088,8.9859,-9.39,-22.6867,39.82,19.61,0.8406,2.2078,27.5751,-0.1068,22.85,4.02,-70.0782,-1.7593,,380958350,452919196.167,579891417.35,3931.6106,3221.1322,2032.1129,1431.6854,-59442502.602,-47297699.3777,45126324.5714,48419751.7877,95717451.1654,39590748.9995,24289606.4486,-49.1752,0.8942,-35.347,5.0959,17649566.9294,24130495.6323,-3.7704,78663465011.2,-956.9337,-772.556,-903.2315,-26.9847,-216.9853,-68.8779,-17.9122,-4.5883,-7.7125,2.9684,34.3597,62.5283,39.9255,-76,100,24,-2.8679,-3.6127,-0.5658,0.2171,0.7829,-7.67,-8.442,-17.4253,-16.4755,-13.5118,-0.0121,-0.0082,31.477,-0.8357,-0.8679,-0.4626,-0.8807,-35.776,10.0372,5.642,,-7.08,-17.61,68.8269,72.4396,1.62,68.7028,1.0706,64.0521,64.3176,1.0648,76.702,90.8754,-14.1734,27.9908,19.9911,-5.1461,-3.6261,0.0237,91.3463,91.1616,0.8441,0.8478,0.1667
