,secID,ticker,tradeDate,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB,PCF,PE,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20
0,688012.XSHG,688012,2019-08-01,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,0.0,0.0,-0.0736,,,,0.6692,0.4009,0.0702,0.2,,0.0953,4.189,84.9178,81.5236,83.4203,86.798,81.9725,0.1699,12.9581,0.5991,3.2531,0.0019,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.6089,22.207,0.0,0.0446,0.019,84.4833,84.4833,84.4833,84.786,84.4833,,,1.0014,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,23.0103,186.5105,535.9262,29.7075,,1.1923,,,1.0452,0.0542,,,,,0.1166,0.1166,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.3404,0.3404,0.3404,0.3404,0.2668,0.3404,,1.9152,,,0.0036,,0,0.0435,,,0.9528,0.2933,0.0734,0.0054,0.0482,-0.0309,3.2326,,1.0,0.4883,0.2806,0.0254,1.0,1.6494,,7.1825,7.1262,7.7728,7.7728,7.388,7.7728,76.709,92.2576,98.6911,98.6911,97.923,98.6911,39.8768,37.679,44.2724,7.1176,,,,,,,,,,,1.3317,,124351605.0,93448300.3333,79880586.6667,1403.0657,1153.0516,688.8669,319.2417,-4578004.7339,-6242713.5774,18524515.5194,19897399.6482,26140113.2256,15211462.7041,-3329417.687,0.0,11.3616,,16.2837,8049202.8505,8049202.8505,-2.8631,12767680120.4,12.6643,-5.2095,-2.6718,,79.099,8.6805,,637.5342,13.5534,21.3888,10.094,35.8761,,16,84,100,0.6848,1.5095,-0.3438,0.3281,0.6719,,,2.0295,0.9617,0.7804,0.0073,0.0025,56.0474,0.2802,0.1145,1.4606,0.8027,52.499,4.004,5.3719,,11.25,,84.4824,82.9729,3.3616,85.4775,0.9388,88.4487,90.2996,0.9279,,,,91.0051,6.0813,1.6299,7.2899,0.0622,98.9049,110.5405,,,0.75
1,688012.XSHG,688012,2019-08-02,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,0.0,0.0,-0.0442,,,,0.6692,0.4009,0.081,0.2,,0.0953,4.189,86.8419,81.7546,84.5707,89.6987,82.416,0.1699,12.9581,0.5991,3.2531,0.0018,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.6566,22.2547,0.0,0.0446,0.019,85.585,85.585,85.585,88.168,85.585,,,1.0013,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,24.135,195.626,562.1192,31.1595,,1.1923,,,1.2152,0.0542,,,,,0.1643,0.1643,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.3512,0.3512,0.3512,0.3512,0.307,0.3512,,1.9152,,,0.0035,,0,0.0415,,,0.9455,0.2924,0.07,0.0052,0.0482,-0.0309,3.2326,,1.0,0.4567,0.7152,0.0252,1.0,2.547,,7.9667,8.3118,11.585,11.585,8.3159,11.585,75.4721,95.6979,165.009,165.009,124.2467,165.009,51.6454,42.3345,70.2672,9.6315,,,,5.0565,0.0,100.0,0.385,,,,2.1077,,146091360.0,103837041.667,86501664.0,1469.4499,1265.4422,682.5539,492.2504,-4789068.1534,-5633321.8313,19109104.5159,20180838.9331,25814160.7644,17387560.1361,-1688507.3558,0.0,13.1731,,35.8252,7768741.3328,7768741.3328,-3.0268,14839188908.5,13.6414,-3.3244,0.0581,,166.3167,9.9486,,523.7142,62.9991,32.0781,8.0893,59.7221,,20,80,100,1.0032,2.2767,-0.155,0.4225,0.5775,36.77,,3.092,1.2826,1.0116,0.0119,0.0037,54.0446,0.3426,0.5295,3.3231,1.1847,126.7315,3.7985,3.1184,,15.38,,86.1775,83.9008,3.9456,87.3546,0.9147,92.2634,94.732,0.8962,,,,127.0219,6.6333,2.1599,16.3999,0.1491,98.9049,115.9431,,,0.75
2,688012.XSHG,688012,2019-08-05,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0404,0.0,-0.0141,,,,0.6692,0.4009,0.0919,0.2,,0.0953,4.189,89.1197,82.0458,85.9802,92.9225,82.9719,0.1699,12.9581,0.5991,3.2531,0.0017,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.6964,22.2944,0.0,0.0446,0.019,87.419,86.8382,86.8382,91.636,86.8382,,,1.0013,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,25.113,203.5535,584.8983,32.4222,,1.1923,1.2263,,1.2114,0.0542,,,,,0.204,0.204,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.3091,0.3495,0.3495,0.3495,0.3354,0.3495,,1.9152,,,0.0033,,0,0.0398,,,0.9395,0.2888,0.0672,0.005,0.0482,-0.0309,3.2326,,1.0,0.4357,0.836,0.0253,1.0,3.4516,,8.11,8.4932,13.6709,14.4312,8.4399,14.4312,74.1439,99.5324,144.0234,146.1947,91.4162,146.1947,63.7444,49.4711,92.291,26.441,,,,5.2323,0.0,100.0,0.1846,,,,2.8113,,162200432.0,118910829.667,93383370.1818,1476.5726,1359.836,647.9582,481.0735,-4939424.9326,-5540852.0493,18563644.0585,19554413.2511,25095265.3004,16961397.4241,-1202854.2334,0.0,14.5153,,34.2288,3676619.1392,7375072.48,-3.1656,16390975814.2,29.2706,-0.3613,7.1153,,379.5853,14.5359,-74.9579,506.6823,113.6418,28.36,7.1517,59.722,,24,76,100,1.4346,3.1604,-0.1848,0.4076,0.5924,18.34,,3.7448,1.908,1.26,0.0167,0.0053,59.3552,0.4445,0.9014,3.5551,1.5151,84.8327,3.7985,1.7096,,33.16,,88.2071,85.0467,5.258,89.7545,0.9032,96.4402,99.081,0.8797,,,,120.6567,7.1969,2.2856,11.6856,0.0946,102.9129,115.9431,,,0.8
3,688012.XSHG,688012,2019-08-06,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0402,0.0,0.0221,,,,0.6692,0.4009,0.0956,0.2,,0.0953,4.189,89.4616,82.1938,86.4582,92.2816,83.2351,0.1699,12.9581,0.5991,3.2531,0.0019,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.6084,22.2064,0.0,0.0446,0.019,88.191,87.185,87.185,93.08,87.185,,,1.0014,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,22.9977,186.408,535.6319,29.6912,0.8333,1.1923,1.0927,,1.0862,0.0542,,,,82.364,0.116,0.116,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.3164,0.3566,0.3566,0.3566,0.3787,0.3566,,1.9152,,,0.0036,,0,0.0434,,,0.9395,0.2888,0.0735,0.0054,0.0482,-0.0309,3.2326,,0.5972,0.4129,0.6433,0.027,1.0,2.7432,,9.1,10.2443,3.1851,4.3758,-2.2346,4.3758,74.8453,99.5247,96.7959,106.9629,44.4655,106.9629,57.7009,52.2144,68.6739,10.935,,,,4.5347,0.838,84.4026,0.0848,,,,2.2507,,141196669.0,128945236.333,97367811.75,1529.2971,1585.6844,644.2361,457.3698,-4954500.1302,-5014800.9204,19007302.0479,19777390.1355,24792191.0559,18308852.6161,-120601.5804,0.0,5.278,,127.4975,4091963.5455,7129630.645,-3.5099,18386333299.2,16.0051,1.0026,11.3855,,318.6483,10.8702,-69.84,409.3771,155.9926,29.96,5.7942,67.5887,,24,72,96,1.7775,3.1491,-0.0884,0.4558,0.5442,7.72,,1.9756,2.1712,1.3197,0.0159,0.0063,55.0111,0.5158,1.0987,2.092,1.3255,-75.9246,4.6393,3.7669,,14.22,,88.6368,85.4877,5.5784,90.2975,0.9923,95.2702,94.6784,0.9691,,,,119.5996,7.849,-0.778,18.222,0.2088,102.9129,106.1771,,,0.8
4,688012.XSHG,688012,2019-08-07,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0351,0.0,0.0124,,,,0.6692,0.4009,0.0962,0.2,,0.0953,4.189,89.5613,82.323,86.7965,91.5244,83.4572,0.1699,12.9581,0.5991,3.2531,0.0019,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.5974,22.1955,0.0,0.0446,0.019,88.692,87.4023,87.4023,93.386,87.4023,,,1.0014,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,22.7475,184.3801,529.8047,29.3682,0.75,1.1923,1.0589,,1.0173,0.0542,,,,60.0358,0.1051,0.1051,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.3141,0.3492,0.3492,0.3492,0.3616,0.3492,,1.9152,,,0.0037,,0,0.0439,,,0.9395,0.2888,0.0743,0.0055,0.0482,-0.0309,3.2326,,0.5496,0.4106,0.5257,0.026,1.0,1.9966,,9.0625,9.9786,1.486,2.9836,-3.6151,2.9836,75.4845,99.3201,19.8547,32.5431,-77.3529,32.5431,52.5141,52.3143,52.9137,7.4361,,,,3.9301,1.5531,71.6753,0.0557,,,,1.5989,,128536186.0,135115163.833,99765379.0,1499.2646,1629.4631,626.2419,382.2854,-5005813.038,-5211064.6693,17853334.9483,18682481.3454,23893546.0147,16426062.7441,-410503.2626,-10.6941,3.8147,-65.3329,20.2737,4154186.6782,6944647.2564,-3.925,19526029978.9,15.9612,2.1533,14.5383,,197.4869,8.3685,-66.9441,410.6298,67.9401,27.577,6.9885,59.5637,,24,68,92,2.0271,3.0254,-0.2014,0.3993,0.6007,5.01,,1.8379,2.3739,1.4728,0.0128,0.0068,53.9253,0.5574,1.0887,0.3249,1.1544,-86.1202,5.5132,5.6511,,6.68,,88.848,85.8226,5.3572,90.341,1.0037,93.8564,91.7112,0.9854,,,,99.407,8.4969,-2.8255,5.8245,0.0961,101.7933,106.1771,1.1108,,0.6667
5,688012.XSHG,688012,2019-08-08,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0375,0.0,-0.003,,,,0.6692,0.4009,0.094,0.2,,0.0953,4.189,89.0047,82.392,86.7683,89.8496,83.557,0.1699,12.9581,0.5991,3.2531,0.002,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.5577,22.1557,0.0,0.0446,0.019,88.631,87.3379,87.3379,92.476,87.3379,,68.541,1.0015,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,21.8605,177.1901,509.1446,28.223,0.6667,1.1923,0.993,,0.95,0.0542,,,,53.5,0.0653,0.0653,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.3012,0.3387,0.3387,0.3387,0.3357,0.3387,,1.9152,,,0.0038,,0,0.0457,,,0.9395,0.2888,0.0773,0.0057,0.0482,-0.0309,3.2326,,0.3806,0.423,0.5778,0.0268,1.0,0.939,,8.8308,6.05,-2.4044,-0.9594,-6.4622,-0.9594,75.8774,98.7983,-4.5189,9.4303,-99.9823,9.4303,44.2753,49.6346,33.5567,-2.2378,,,,3.4061,2.1756,61.0226,-0.007,,,,0.7032,,118753905.0,136855026.167,101121702.286,1454.6457,1526.7689,624.4063,493.5618,-5111659.9046,-5535047.3709,16385870.5941,17313219.7538,22848267.1247,14211468.8294,-846774.9326,-12.0413,3.1417,-43.915,-41.7656,4475694.9476,6939024.419,-4.3549,20391924885.4,-19.5646,1.3007,12.9601,,41.089,-1.6069,-65.0195,404.5967,20.3099,26.1237,6.6202,59.5638,,24,64,88,2.1445,2.614,-0.2158,0.3921,0.6079,-0.61,,1.4564,2.356,1.5538,0.0078,0.0066,49.7667,0.5943,0.8809,-1.3597,0.8878,-60.9293,6.868,8.0922,,-4.07,,88.4868,85.8728,5.2996,89.237,1.0316,91.1831,87.8456,1.0246,,,,97.7533,9.1248,-1.7361,4.3139,0.0699,97.8238,106.1771,1.0387,,0.6667
6,688012.XSHG,688012,2019-08-09,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0331,0.0,-0.0439,,,,0.6692,0.4009,0.0919,0.2,,0.0953,4.189,87.7093,82.3836,86.3027,87.1931,83.502,0.1699,12.9581,0.5991,3.2531,0.0021,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.5028,22.1008,0.0,0.0446,0.019,88.96,86.974,86.974,89.752,86.974,,59.7597,1.0015,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,20.6929,167.7263,481.951,26.7156,0.5833,1.1923,1.0419,,0.8574,0.0542,,,,46.8098,0.0104,0.0104,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.2962,0.3293,0.3293,0.3293,0.2854,0.3293,,1.9152,,,0.004,,0,0.0482,,,0.9395,0.2888,0.0817,0.006,0.0482,-0.0309,3.2326,,0.1583,0.4338,0.6884,0.0283,1.0,-0.4018,,8.6493,6.09,-7.9586,-5.8569,-8.7708,-5.8569,75.5765,98.3715,-86.1232,-63.7692,-117.7686,-63.7692,31.1887,43.486,6.5941,-10.0714,,,,2.952,2.645,52.7425,0.0402,,,,-0.3494,,109206974.0,134330921.0,101660720.4,1411.0761,1423.0916,624.9072,577.8203,-5238243.2973,-5744576.8679,15142427.0315,16118406.0994,21862982.9673,12656622.8863,-1012667.1412,-11.6155,2.6802,-30.775,-40.4689,4695272.7935,6917005.3935,-4.7786,21191289418.0,-18.2061,0.0003,7.815,,-142.2912,-8.2219,-63.1781,-75.6512,-38.5491,23.1156,13.5502,26.0881,,24,60,84,2.0942,1.8933,0.1242,0.5621,0.4379,3.29,,0.9465,2.1755,1.5686,0.0015,0.0058,45.4912,0.6416,0.6003,-3.0771,0.4991,-130.8812,8.2815,11.289,,-15.11,,87.4704,85.5771,5.4076,87.9389,1.074,87.2169,82.9751,1.0865,,,,87.3139,9.7447,-5.8181,0.4719,0.0768,92.599,106.1771,0.9633,,0.5714
7,688012.XSHG,688012,2019-08-12,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0262,0.0,-0.07,,,,0.6692,0.4009,0.0831,0.2,,0.0953,4.189,86.8403,82.3926,85.9815,85.7721,83.4833,0.1699,12.9581,0.5991,3.2531,0.002,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.5155,22.1136,0.0,0.0446,0.019,89.05,86.7212,86.7212,86.464,86.7212,,62.7894,1.0015,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,20.9582,169.8771,488.1314,27.0582,0.5833,1.1923,1.011,,0.8346,0.0542,,,,45.6313,0.0232,0.0232,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.2916,0.3178,0.3178,0.3178,0.2478,0.3178,,1.9152,,,0.004,,0,0.0476,,,0.9395,0.2888,0.0807,0.006,0.0482,-0.0309,3.2326,,0.2088,0.4578,0.7977,0.0281,1.0,0.0,,5.47,5.8727,-6.8725,-4.3717,-4.0873,-4.3717,75.5261,97.9164,-114.9762,-82.4853,-96.8791,-82.4853,25.5769,37.5163,1.6981,-13.1623,,,,3.3025,0.0,100.0,0.0109,,,,-0.7648,,116228654.0,129353803.333,102571216.25,1358.8549,1174.5299,638.8333,566.1334,-5399538.1209,-6044717.4155,13665927.5712,14718909.7764,20763627.1919,10778308.5909,-1290358.5892,-13.6677,2.7883,-56.1301,-67.7012,5004542.414,7045103.7127,-5.1684,21767909779.6,-3.5437,-1.0276,2.8005,,-307.2862,-6.5078,-60.719,-23.9895,-146.8081,31.6775,24.7361,100.0,,24,56,80,1.6754,0.0,-0.0148,0.4926,0.5074,0.9,,1.0365,1.833,1.5578,-0.0033,0.0047,44.6776,0.6969,0.2972,-3.2306,0.2685,-38.2635,9.6205,11.9654,,-18.6,,86.7718,85.381,4.5676,86.6749,1.0452,85.018,81.8212,1.0738,,,,82.4427,10.3555,-7.7198,-2.2498,0.066,93.7865,106.1771,0.952,,0.5714
8,688012.XSHG,688012,2019-08-13,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0245,0.0,-0.1217,,,,0.6692,0.4009,0.0743,0.2,,0.0953,4.189,86.2766,82.4149,85.768,85.0947,83.4917,0.1699,12.9581,0.5991,3.2531,0.002,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.5252,22.1233,0.0,0.0446,0.019,89.046,86.5459,86.5459,85.012,86.5459,,61.2081,1.0015,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,21.1629,171.5364,492.8991,27.3224,0.6667,1.1923,0.9995,,0.9202,0.0542,,,,56.4166,0.0329,0.0329,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.2814,0.3059,0.3059,0.3059,0.1842,0.3059,,1.9152,,,0.0039,,0,0.0472,,,0.9373,0.2895,0.0799,0.0059,0.0482,-0.0309,3.2326,,0.2478,0.4876,0.8933,0.028,1.0,0.1034,,4.9477,4.6459,-5.9587,-3.2421,-1.4963,-3.2421,75.6102,97.4816,-102.2897,-66.341,-56.2593,-66.341,26.9864,39.9063,7.6066,-15.7291,,,,5.5849,0.0,100.0,-0.0005,,,,-0.846,,16785744.0,104185480.667,97195879.7647,1306.1755,993.7809,655.5747,595.4867,0.0,0.0,5595248.0,5595248.0,5595248.0,5595248.0,0.0,-13.9039,2.8744,-53.3776,-65.2665,5605153.9287,7223099.8079,-1.7535,22231625283.1,8.5914,-0.7609,-1.4935,,-377.6198,-1.9792,-59.6981,-24.4158,-137.0125,0.0,42.9169,100.0,,24,52,76,1.3532,0.0646,-0.044,0.478,0.522,-0.04,,1.0912,1.2088,1.5584,-0.0059,0.0036,44.7471,0.6673,0.1622,-1.776,-0.2889,14.4991,10.7625,11.7765,,-25.14,,86.3054,85.2594,4.406,85.8571,1.0253,83.9491,82.212,1.0634,,,,83.6225,10.9341,-5.257,-2.407,0.034,101.963,100.0,1.0655,,0.625
9,688012.XSHG,688012,2019-08-14,113.1826,3.1807,0.1517,-76.9806,-4.6765,21.9853,1.0318,0,0.1593,0.4837,,0.0,,0.8085,0.912,2.1171,-0.0367,0.0,-0.1393,,,,0.6692,0.4009,0.0722,0.2,,0.0953,4.189,85.8627,82.4411,85.5996,84.7298,83.5083,0.1699,12.9581,0.5991,3.2531,0.002,,0.0063,0.9605,0.0462,8.9872,0.355,,,0.1019,280.5268,1.2833,-2.6426,24.5283,22.1264,0.0,0.0446,0.019,88.598,86.4044,86.4044,83.81,86.4044,,58.9658,1.0015,6.95,2.0361,0.0554,3.6018,0.1915,2.0372,0.0554,0.1321,2.0102,0.0898,0.0898,0.6866,2.7397,0.1935,21.2286,172.069,494.4295,27.4073,0.6667,1.1923,0.9494,,0.9332,0.0542,,,,52.6658,0.036,0.036,0.645,1.3148,1.0277,0.0042,,0.5521,0.7141,0.096,1.9952,0.259,0.2957,0.2957,0.2957,0.1564,0.2957,,1.9108,,,0.0039,,0,0.047,,,0.9421,0.2888,0.0797,0.0059,0.0482,-0.0309,3.2326,,0.2603,0.5108,0.979,0.0275,1.0,0.1958,,4.6891,4.1053,-5.1897,-2.7827,0.2267,-2.7827,75.7276,97.0813,-70.1215,-46.3573,-9.0942,-46.3573,24.2814,34.698,5.1116,-7.6923,,,,5.6411,0.0,100.0,-0.0506,,,,-0.879,,23021316.0,83503686.8333,92746436.7778,1261.2736,725.2264,663.919,261.4736,9194.3959,25539.9886,5701086.6777,5686181.5858,5640922.6886,5773115.7778,40863.9818,-12.4942,2.9654,-35.9286,-71.8364,5966403.9661,7314498.0572,-1.7451,22728638031.3,3.162,-0.5333,-3.6053,,-297.4219,-0.0015,-60.7526,-29.3196,-160.831,3.2439,37.5727,84.105,92.0525,24,48,72,1.1096,0.1353,0.0806,0.5403,0.4597,-4.48,,0.0184,0.8826,1.5269,-0.0069,0.0026,38.7423,0.5709,0.0247,-1.0651,-0.716,4.2734,11.8219,11.073,,-8.64,,85.9507,85.1661,3.7688,85.7478,1.0208,83.4129,82.8389,1.0547,,,,86.6779,11.4803,-2.9517,-0.8917,0.0245,100.9767,100.6219,1.024,,0.5556
