,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-02,1000.0,1005.6174,1005.6174,1019.9098,1019.7234,219385276,9315104841,19.7234,0.019723
1,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-03,1019.7234,1021.6693,1018.6813,1029.0713,1024.4819,216058348,9677367301,4.7585,0.004666
2,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-06,1024.4819,1019.9989,1019.9989,1040.1404,1027.2773,266301181,11978945124,2.7954,0.002729
3,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-07,1027.2773,1025.6627,1019.8577,1043.0833,1043.0833,267592167,11953768305,15.806,0.015386
4,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-08,1043.0833,1035.8362,1034.5129,1059.4361,1051.1599,320762650,13506584528,8.0766,0.007743
5,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-09,1051.1599,1060.5802,1060.5802,1081.4038,1078.3117,284342095,12913099511,27.1518,0.02583
6,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-10,1078.3117,1082.3097,1076.4379,1088.5431,1076.4379,251547487,10766677457,-1.8738,-0.001738
7,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-13,1076.4379,1076.7616,1069.7789,1105.8481,1105.8481,246625919,11640010897,29.4102,0.027322
8,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-14,1105.8481,1107.7757,1107.7757,1133.8986,1118.3063,326246382,15303201742,12.4582,0.011266
9,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-15,1118.3063,1113.2521,1105.5754,1120.3455,1114.7655,242046421,11554276317,-3.5408,-0.003166
10,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-16,1114.7655,1116.5084,1116.5084,1161.4769,1154.3028,308528799,16115816599,39.5373,0.035467
11,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-17,1154.3028,1159.372,1159.372,1252.5561,1238.6638,587359671,26076157662,84.361,0.073084
12,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-20,1238.6638,1239.4391,1208.6903,1270.3586,1240.5094,520259197,25890091114,1.8456,0.00149
13,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-21,1240.5094,1233.6459,1194.7968,1247.8409,1195.0142,420678873,20822897677,-45.4952,-0.036675
14,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-22,1195.0142,1178.7835,1157.2903,1247.6097,1244.5246,479474004,23124808292,49.5104,0.041431
15,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-01-23,1244.5246,1219.2328,1177.0936,1262.4357,1202.1022,442593437,23901230623,-42.4224,-0.034087
16,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-03,1202.1022,1018.276,1015.5965,1082.7892,1030.5503,546654316,22392218949,-171.5519,-0.14271
17,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-04,1030.5503,1049.9556,1049.9556,1153.2316,1153.2316,528620605,25214022851,122.6813,0.119044
18,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-05,1153.2316,1166.9733,1166.9733,1240.3675,1203.6128,586021339,31235308672,50.3812,0.043687
19,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-06,1203.6128,1191.7314,1191.7314,1251.8427,1238.7573,558998166,28886970285,35.1445,0.029199
20,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-07,1238.7573,1240.0377,1234.2337,1307.7568,1307.7568,566478458,32385770513,68.9995,0.055701
21,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-10,1307.7568,1310.5262,1293.4299,1336.5258,1322.2502,593290694,30052305965,14.4934,0.011083
22,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-11,1322.2502,1318.4202,1266.2142,1318.4202,1283.5724,503753086,26632123773,-38.6778,-0.029251
23,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-12,1283.5724,1274.7963,1274.7963,1360.549,1348.7019,476390579,27605196207,65.1295,0.050741
24,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-13,1348.7019,1360.1289,1353.0449,1409.6835,1360.7094,614405501,35045997410,12.0075,0.008903
25,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-14,1360.7094,1359.3728,1305.9737,1382.9554,1327.224,531016642,30495954578,-33.4854,-0.024609
26,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-17,1327.224,1332.9652,1332.9652,1381.5532,1381.5532,496988892,27951676560,54.3292,0.040934
27,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-18,1381.5532,1381.583,1372.5255,1404.7123,1399.3841,490560871,31443906973,17.8309,0.012906
28,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-19,1399.3841,1398.7812,1373.4439,1412.1691,1373.4439,478319039,29390754314,-25.9402,-0.018537
29,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-20,1373.4439,1377.7562,1321.7335,1390.0194,1348.3377,422226619,25495526119,-25.1062,-0.01828
30,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-21,1348.3377,1337.5566,1337.5566,1373.6669,1346.8628,447545498,32799336628,-1.4749,-0.001094
31,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2020-02-24,1346.8628,1341.9878,1328.7467,1359.2267,1351.7098,419998820,27239430462,4.847,0.003599
