,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-20,1546.11,1537.9117,1514.0672,1557.106,1529.0863,1037603500,57383894234,-17.0237,-0.011011
1,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-23,1529.0863,1534.3905,1524.1951,1568.8396,1564.1108,1154617600,67456763825,35.0245,0.022906
2,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-24,1564.1108,1567.6996,1550.8781,1586.5219,1578.0306,1171709800,69500388700,13.9198,0.008899
3,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-25,1578.0306,1573.7417,1535.0926,1574.395,1542.7755,1084754900,67461347058,-35.2551,-0.022341
4,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-26,1542.7755,1546.324,1494.8873,1555.0359,1497.3375,1072153000,66111394653,-45.438,-0.029452
5,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-27,1497.3375,1491.3405,1476.5555,1506.6457,1480.3135,1040080500,58225637132,-17.024,-0.01137
6,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-30,1480.3135,1487.8965,1463.403,1508.7841,1471.4549,1187558200,69044750194,-8.8586,-0.005984
7,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-08-31,1471.4549,1463.1299,1423.5114,1463.5577,1441.1734,1072986600,62148290260,-30.2815,-0.020579
8,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-01,1441.1734,1437.2638,1400.1594,1438.3776,1424.6642,1274849200,62190218473,-16.5092,-0.011455
9,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-02,1424.6642,1416.1576,1395.5062,1424.1718,1399.4817,1148871400,53149175718,-25.1825,-0.017676
10,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-03,1399.4817,1399.4653,1382.6425,1415.237,1400.8902,1139564400,54303637225,1.4085,0.001006
11,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-06,1400.8902,1398.2433,1393.5389,1441.7099,1438.9953,978565800,50305730257,38.1051,0.027201
12,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-07,1438.9953,1435.7342,1426.026,1443.3424,1438.5691,945268500,51064312997,-0.4262,-0.000296
13,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-08,1438.5691,1439.6636,1408.7209,1439.6636,1412.7232,990505600,50089986842,-25.8459,-0.017966
14,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-09,1412.7232,1414.073,1393.6076,1425.2845,1402.1908,941026700,46975512618,-10.5324,-0.007455
15,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-10,1402.1908,1398.3316,1392.2062,1431.7057,1426.814,1052301900,55580134910,24.6232,0.017561
16,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-13,1426.814,1426.5403,1384.0201,1426.7633,1384.4339,926590000,50564744294,-42.3801,-0.029703
17,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-14,1384.4339,1384.2827,1383.4105,1414.0915,1396.6687,974882300,51653707667,12.2348,0.008837
18,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-15,1396.6687,1395.6109,1378.9494,1395.9883,1384.5213,792433600,43589586772,-12.1474,-0.008697
19,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-16,1384.5213,1378.1767,1347.9022,1380.1621,1351.4252,912622600,47704416479,-33.0961,-0.023904
20,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-17,1351.4252,1349.342,1332.0953,1360.9092,1349.6848,872983900,45905528412,-1.7404,-0.001288
21,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-22,1349.6848,1338.0143,1335.5035,1361.2129,1355.2812,781899700,40621275606,5.5964,0.004146
22,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-23,1355.2812,1359.6721,1354.2102,1376.5717,1363.7869,735069800,38058800264,8.5057,0.006276
23,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-09-24,1363.7869,1362.9793,1359.845,1390.5031,1374.9995,716907000,39188780550,11.2126,0.008222
